Tipologia;N_Osservazioni;Media_kWh;Mediana_kWh;StdDev_kWh;Min_kWh;Max_kWh;N_POD
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Raccolta di rifiuti non pericolosi ;68;277245.0;112763.5;406371.8;22323.0;2470685.0;4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività di trasporti ter;65;267990.8;321918.0;191561.1;25218.0;622173.0;4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Gestione di impianti sportivi p;45;642164.0;254149.0;866207.8;185.0;3854729.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Corsi sportivi e ricreativi    ;45;224468.5;26430.0;365025.9;0.0;1508584.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di strutture metallic;53;534946.3;531357.0;325430.4;92617.0;1173570.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi veterinari                 ;48;176823.8;111451.0;187411.3;0.0;704847.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di derivati del latte   ;50;2500008.4;2153195.0;2327816.3;124487.0;8281861.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Noleggio e leasing operativo di alt;42;585066.6;405958.5;556395.9;46955.0;2601202.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività postali con obbligo di ser;51;418225.0;277376.0;316377.8;118659.0;1489237.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di somministrazione di bev;47;2416199.2;214737.0;3815449.4;19033.0;11998254.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di rivendita di telecomuni;46;5053227.3;5475576.5;1208007.6;3150457.0;6871024.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di carburant;53;683982.6;503962.0;615922.8;63870.0;2492113.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Riparazione di carrozzerie di a;53;1101201.1;1065947.0;393462.0;320566.0;2165509.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Taglio e piallatura del legno  ;54;788291.1;500848.0;482588.4;310189.0;1731002.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Rifugi di montagna             ;40;260812.8;244685.0;206629.3;147.0;657979.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Rivestimento di pavimenti e di pare;54;234177.0;255676.0;188081.9;0.0;619949.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Affitto e gestione di terreni per t;48;130129.7;56185.0;127661.9;40.0;335881.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altre intermediazioni monetarie for;51;1128930.9;708861.0;859646.6;477646.0;3704149.0;3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi di alloggio in aziende agri;29;1643308.9;921465.0;1638771.1;83623.0;6107289.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Raccolta dei rifiuti               ;28;213909.2;166946.0;201734.4;17788.0;543748.0;2
