POD;N_Righe;N_Mesi;Tot_NaN_Q;Tot_Celle;Completezza [%]
99999E00010611;1100;18;8;105600;99.99
99999E00010621;1042;17;8;100032;99.99
99999E00010622;1100;18;8;105600;99.99
99999E00010623;1100;18;8;105600;99.99
99999E00010628;1100;18;8;105600;99.99
99999E00010629;1100;18;8;105600;99.99
99999E00010631;1100;18;8;105600;99.99
99999E00010632;1100;18;8;105600;99.99
99999E00010637;1100;18;8;105600;99.99
99999E00010638;1100;18;8;105600;99.99
99999E00010642;1100;18;20;105600;99.98
99999E00010644;1100;18;8;105600;99.99
99999E00010647;1100;18;8;105600;99.99
99999E00010651;1100;18;8;105600;99.99
99999E00010661;1100;18;12;105600;99.99
99999E00010663;1100;18;8;105600;99.99
99999E00010665;1100;18;8;105600;99.99
99999E00010670;1100;18;8;105600;99.99
99999E00010671;1100;18;8;105600;99.99
99999E00010673;1100;18;8;105600;99.99
99999E00010674;1100;18;8;105600;99.99
99999E00010675;1100;18;8;105600;99.99
99999E00010679;1100;18;8;105600;99.99
99999E00010680;1100;18;8;105600;99.99
99999E00010682;1100;18;8;105600;99.99
99999E00010684;1100;18;8;105600;99.99
99999E00010690;1100;18;8;105600;99.99
99999E00010695;1100;18;8;105600;99.99
99999E00010699;1100;18;8;105600;99.99
99999E00010709;1100;18;8;105600;99.99
99999E00010710;1100;18;8;105600;99.99
99999E00010714;1100;18;8;105600;99.99
99999E00010716;1100;18;8;105600;99.99
99999E00010717;1100;18;8;105600;99.99
99999E00010720;1100;18;8;105600;99.99
99999E00010721;1100;18;8;105600;99.99
99999E00010722;1100;18;8;105600;99.99
99999E00010739;1100;18;8;105600;99.99
99999E00010740;1100;18;8;105600;99.99
99999E00010742;1100;18;8;105600;99.99
99999E00010743;1102;18;8;105792;99.99
99999E00010752;1100;18;8;105600;99.99
99999E00010765;920;15;8;88320;99.99
99999E00010770;980;16;8;94080;99.99
99999E00010778;920;15;8;88320;99.99
99999E00010782;924;16;8;88704;99.99
99999E00010783;920;15;8;88320;99.99
99999E00010784;920;15;8;88320;99.99
99999E00010790;980;16;8;94080;99.99
99999E00010791;980;16;8;94080;99.99
99999E00010800;920;15;8;88320;99.99
99999E00010807;1100;18;8;105600;99.99
99999E00010810;920;15;8;88320;99.99
99999E00010823;1042;17;8;100032;99.99
99999E00010826;1100;18;8;105600;99.99
99999E00010828;1100;18;8;105600;99.99
99999E00010833;1100;18;8;105600;99.99
99999E00010834;1100;18;8;105600;99.99
99999E00010835;1100;18;8;105600;99.99
99999E00010841;1042;17;8;100032;99.99
99999E00010848;1100;18;8;105600;99.99
99999E00010852;1100;18;8;105600;99.99
99999E00010862;1100;18;8;105600;99.99
99999E00010863;1100;18;8;105600;99.99
99999E00010868;1100;18;8;105600;99.99
99999E00010874;1042;17;8;100032;99.99
99999E00010881;1042;17;8;100032;99.99
99999E00010889;858;14;8;82368;99.99
99999E00010901;980;16;8;94080;99.99
99999E00010911;1100;18;8;105600;99.99
99999E00010920;1100;18;8;105600;99.99
99999E00010923;1100;18;8;105600;99.99
99999E00010926;798;13;8;76608;99.99
99999E00010930;980;16;8;94080;99.99
99999E00010931;980;16;8;94080;99.99
99999E00010933;1100;18;8;105600;99.99
99999E00010938;980;16;8;94080;99.99
99999E00010941;920;15;8;88320;99.99
99999E00010943;920;15;8;88320;99.99
99999E00010944;980;16;8;94080;99.99
99999E00010945;858;14;8;82368;99.99
99999E00010949;980;16;8;94080;99.99
99999E00010952;798;13;8;76608;99.99
99999E00010953;798;13;8;76608;99.99
99999E00010967;1100;18;8;105600;99.99
99999E00010969;1042;17;8;100032;99.99
99999E00010974;920;15;8;88320;99.99
99999E00010976;798;13;8;76608;99.99
99999E00010977;980;16;8;94080;99.99
99999E00010980;980;16;8;94080;99.99
99999E00010981;920;15;8;88320;99.99
99999E00010989;980;16;8;94080;99.99
99999E00011001;1100;18;8;105600;99.99
99999E00011004;1100;18;8;105600;99.99
99999E00011006;1100;18;8;105600;99.99
99999E00011009;1100;18;8;105600;99.99
99999E00011014;1100;18;8;105600;99.99
99999E00011016;1100;18;8;105600;99.99
99999E00011033;1100;18;8;105600;99.99
99999E00011034;1100;18;8;105600;99.99
99999E00011037;1042;17;8;100032;99.99
99999E00011041;1042;17;8;100032;99.99
99999E00011042;1100;18;8;105600;99.99
99999E00011044;858;14;8;82368;99.99
99999E00011075;980;16;8;94080;99.99
99999E00011125;920;15;8;88320;99.99
99999E00011129;858;14;8;82368;99.99
99999E00011130;858;14;8;82368;99.99
99999E00011132;1042;17;8;100032;99.99
99999E00011135;920;15;8;88320;99.99
99999E00011136;1042;17;8;100032;99.99
99999E00011149;798;13;8;76608;99.99
99999E00011154;858;14;8;82368;99.99
99999E00011168;980;16;8;94080;99.99
99999E00011189;920;15;8;88320;99.99
99999E00011191;920;15;8;88320;99.99
99999E00011197;980;16;8;94080;99.99
99999E00011202;980;16;8;94080;99.99
99999E00011204;920;15;8;88320;99.99
99999E00011208;920;15;8;88320;99.99
99999E00011213;1100;18;8;105600;99.99
99999E00011214;1100;18;8;105600;99.99
99999E00011219;920;15;8;88320;99.99
99999E00011220;920;15;8;88320;99.99
99999E00011228;1162;18;8;111552;99.99
99999E00011237;978;16;8;93888;99.99
99999E00011239;920;15;8;88320;99.99
99999E00011246;980;16;8;94080;99.99
99999E00011247;1100;18;8;105600;99.99
99999E00011248;980;16;8;94080;99.99
99999E00011252;980;16;8;94080;99.99
99999E00011255;1042;17;8;100032;99.99
99999E00011257;920;15;8;88320;99.99
99999E00011258;920;15;8;88320;99.99
99999E00011260;980;16;8;94080;99.99
99999E00011261;980;16;8;94080;99.99
99999E00011262;980;16;8;94080;99.99
99999E00011264;858;14;8;82368;99.99
99999E00011267;1042;17;8;100032;99.99
99999E00011269;920;15;8;88320;99.99
99999E00011274;980;16;8;94080;99.99
99999E00011276;1042;17;8;100032;99.99
99999E00011278;920;15;8;88320;99.99
99999E00011285;1100;18;8;105600;99.99
99999E00011310;1100;18;8;105600;99.99
99999E00011311;1100;18;8;105600;99.99
99999E00011313;1100;18;8;105600;99.99
99999E00011314;1100;18;8;105600;99.99
99999E00011322;1650;18;12;158400;99.99
99999E00011324;1100;18;8;105600;99.99
99999E00011326;1042;17;8;100032;99.99
99999E00011328;1100;18;8;105600;99.99
99999E00011329;1100;18;8;105600;99.99
99999E00011331;1042;17;8;100032;99.99
99999E00011337;980;16;8;94080;99.99
99999E00011339;920;15;8;88320;99.99
99999E00011341;920;15;8;88320;99.99
99999E00011342;920;15;8;88320;99.99
99999E00011345;1042;17;8;100032;99.99
99999E00011369;920;15;8;88320;99.99
99999E00011439;798;13;8;76608;99.99
99999E00011478;798;13;8;76608;99.99
99999E00011481;798;13;8;76608;99.99
99999E00011482;798;13;8;76608;99.99
99999E00011484;798;13;8;76608;99.99
99999E00011522;920;15;8;88320;99.99
99999E00011525;858;14;8;82368;99.99
99999E00011533;1042;17;8;100032;99.99
99999E00011539;1042;17;8;100032;99.99
99999E00011548;858;14;8;82368;99.99
99999E00011552;858;14;8;82368;99.99
99999E00011553;798;13;8;76608;99.99
99999E00011559;1686;18;16;161856;99.99
99999E00011571;920;15;8;88320;99.99
99999E00011574;980;16;8;94080;99.99
99999E00011580;1100;18;8;105600;99.99
99999E00011583;980;16;8;94080;99.99
99999E00011592;980;16;8;94080;99.99
99999E00011600;920;15;8;88320;99.99
99999E00011601;1100;18;8;105600;99.99
99999E00011602;1100;18;8;105600;99.99
99999E00011603;1100;18;8;105600;99.99
99999E00011604;1100;18;8;105600;99.99
99999E00011606;1100;18;8;105600;99.99
99999E00011608;1100;18;8;105600;99.99
99999E00011613;920;15;8;88320;99.99
99999E00011614;920;15;8;88320;99.99
99999E00011615;1042;17;8;100032;99.99
99999E00011630;920;15;8;88320;99.99
99999E00011644;1100;18;8;105600;99.99
99999E00011650;1100;18;8;105600;99.99
99999E00011653;1100;18;8;105600;99.99
99999E00011655;1100;18;8;105600;99.99
99999E00011657;1100;18;8;105600;99.99
99999E00011704;1960;16;16;188160;99.99
99999E00011717;1100;18;8;105600;99.99
99999E00011722;920;15;8;88320;99.99
99999E00011728;920;15;8;88320;99.99
99999E00011730;920;15;8;88320;99.99
99999E00011731;920;15;8;88320;99.99
99999E00011733;920;15;8;88320;99.99
99999E00011734;920;15;8;88320;99.99
99999E00011736;980;16;8;94080;99.99
99999E00011739;1042;17;8;100032;99.99
99999E00011740;1840;15;16;176640;99.99
99999E00011743;920;15;8;88320;99.99
99999E00011744;920;15;8;88320;99.99
99999E00011745;858;14;8;82368;99.99
