Tipologia;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-10;2024-11;2025-01;2025-03;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;Media
BASSA TENSIONE ILLUM | BT I.P. liberi F3    | Servizi per la rete stradale (esclu;1910929.4;1591786.3;1411514.8;1273349.0;1082963.7;1113645.6;1048012.5;1313947.9;1376869.4;1475077.4;1148452.7;838439.4;884012.9;987504.7;1075475.0;1227643.8;1302712.2;1476866.4;1252178.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Allevamento di bovini da latte     ;1295304.6;1509686.0;1252670.8;1144888.4;1397826.7;1707170.7;1522613.4;982665.9;751982.6;858258.7;983636.9;1638967.4;1520142.1;1798711.8;1342730.2;1219999.1;701885.4;709067.0;1241011.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Gelaterie e pasticcerie        ;;98945.0;771743.0;763433.0;1663032.0;2222288.0;2607917.0;67756.0;;;30615.0;2207541.0;2085227.0;2071228.0;1221375.0;142.0;;;1216249.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altre intermediazioni monetarie for;941759.5;986350.5;1076411.0;1204121.7;1181703.7;1603659.7;1611979.7;996625.0;886065.7;922491.7;908747.7;1350507.7;1419766.7;1623197.3;915461.7;858725.3;849645.3;856112.7;1121851.8
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Riparazione di carrozzerie di a;859602.0;999295.3;857416.0;994276.3;740415.3;676039.0;729423.0;1177506.3;1192660.0;1278626.3;1238598.7;1342408.7;1517805.3;1356323.7;1208406.0;1191722.0;1124205.7;1256357.0;1096727.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di pasti e piatti prepar;28805.0;28754.0;25551.0;51251.5;1192249.5;2230049.5;2722262.0;47399.5;145864.5;1852005.5;1474007.0;1491612.0;2484667.5;2814149.5;1178827.5;14512.0;67526.0;1488026.5;1074306.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività professionali, s;;;;;969073.0;1568277.0;1507547.0;757420.0;505795.0;1585742.0;1028169.0;1000420.0;1279668.0;1511062.0;923949.0;631097.0;498426.0;927103.0;1049553.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi di alloggio di alberghi e s;1722021.5;1447890.9;755811.2;639768.1;978265.8;1452617.0;1560135.2;499672.6;510345.9;1193147.7;815124.4;919962.9;1374660.1;1462964.3;857430.5;486785.9;467175.3;1066865.9;1011702.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di gener;;;;377711.0;1117770.0;1392051.0;1453835.0;360358.0;486332.0;1462907.0;1250493.0;980027.0;1329893.0;1407403.0;965986.0;363084.0;429234.0;1248732.0;975054.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altri servizi di prenotazione e;;;;1291445.0;866683.0;831316.0;1020397.5;1120639.0;1017828.5;1186354.5;732437.0;589854.0;703314.0;947467.0;699960.0;688423.0;730474.5;1098680.5;901684.9
